1534503,2534503,zyl_106,女,68,朝阳,朝阳,161,本科,"68-74岁,168-178cm,本科,北京",未婚,,爱，譬如两个圆：从相离→外切→相交→内切→同心圆。从陌路→你中有我，我中有你。        设计院退休，高级工程师，2007年3月退休，后又返聘了5年，2012年9月正式退下来。…,https:\/\/at4.jyimg.com\/bc\/3f\/4cbaq904845e8ebc8eaa55607564\/4cbad9048_1_avatar_p.jpg
257460676,258460676,阿扶洛,女,24,南宁,南宁,165,大专,"30-50岁,165-190cm",未婚,,"我是一个顾家,温柔,文静的人 。",https:\/\/at2.jyimg.com\/50\/41\/0af14d6f1179412ef63322022512\/0af14d6f1_1_avatar_p.jpg
1530904,2530904,黎明前的情话,女,55,淄博,淄博,160,大专,"38-68岁,173-185cm,大专",丧偶,,我没有邮票，别给我写信，看不了……现在就有万数封没看的。...,https:\/\/images1.jyimg.com\/w4\/global\/i\/xjhykj_f.jpg
1541901,2541901,独舞@,女,40,丰台,丰台,160,大专,"30-40岁,168-178cm,有照片,未婚,北京",未婚,,真正的爱很简单。找一个不欺骗我，不伤害我，可以陪着我的那个他。    （没有邮票，不能免费看信）...,https:\/\/images1.jyimg.com\/w4\/global\/i\/yzphykj_f.jpg
1532339,2532339,紫藤和树,女,33,深圳,深圳,156,本科,"30-36岁,170-175cm,本科,有照片,未婚,广东,深圳",未婚,,谢谢你的关注，先简单自我介绍一下：我是广东客家人，乐观孝顺，有一个温馨有爱的大家庭。虽然运动细胞不是很足，但喜欢散步爬山，打羽毛球……计划每年会抽时间陪父母去旅行，之前一个人去泰国…,https:\/\/images1.jyimg.com\/w4\/global\/i\/yzphykj_f.jpg
1539025,2539025,莫名季节,女,42,浦东新区,浦东新区,158,大专,"37-45岁,178-183cm,有照片,未婚、离异,上海",离异,,"1·我未来那位需要您：
诚信，阳光爱笑☀，偶尔有些“二”
无需大富大贵，有稳定工作，心态阳光，稳重踏实，专一，多些体贴与陪伴。我也同样的对你不离不弃！
2·推销等等费脑子的小哥哥就…",https:\/\/at3.jyimg.com\/6a\/e9\/2a84da1621bdb95fdb732337338e\/2a84da162_12_avatar_p.jpg
1548972,2548972,清波水月,女,63,桂林,桂林,156,本科,"62-66岁,165-172cm,大专以上,有照片,离异",离异,,在这里不知是否有缘寻到一付可以依靠的肩膀。。。...,https:\/\/at2.jyimg.com\/51\/06\/778effd0003f3fa2b050a9c150c9\/778effd00_1_avatar_p.jpg
1545254,2545254,lucky angel,女,38,海淀,海淀,166,本科,"31-49岁,170-226cm,本科,有照片",未婚,,虽不优秀也不差。总体作为一个女生：能键盘如飞，能掌勺做饭，能谋生赚钱，能穿针引线。各项运动琴棋书画一项不差。端庄不失温柔，善良孝顺体贴有责任心有趣有爱有理想。据说好的男人让女人幸福…,https:\/\/at2.jyimg.com\/96\/24\/9f036435f3d352785ee08a6ce6cc\/9f036435f_5_avatar_p.jpg
257455290,258455290,陌上霓裳123,女,30,威海,威海,156,大专,"29-37岁,156-181cm,山东,威海",未婚,,我想用我的真心换你我一生幸福的生活！还没找到你怎么办呢？其实无所谓合适不合适，重要在于，你是否愿意为对方包容，你是否把中心放在他身上，愿我就是你的天，你的肩膀，你的依靠。...,https:\/\/at1.jyimg.com\/8e\/95\/aa6023aa2a45d77d734b56c524fb\/aa6023aa2_1_avatar_p.jpg
1547182,2547182,冰霜女56,女,63,呼和浩特,呼和浩特,163,大专,"58-75岁,170-不限 cm,有照片,内蒙古",离异,,我是一个很守旧的老太婆，我抱着的孩子，和我相依为命快8年了。我们现在谁都离不开谁。我这里有很多的留言，可我几乎都没有看到过，只有很少很少我看到过，当我告知对方我的实情，对方就不再回…,https:\/\/at1.jyimg.com\/c0\/23\/1a42418a5869ff5e7fd93d4af4ae\/1a42418a5_9_avatar_p.jpg
